prob_A,prob_D,prob_H,match_id
0.030304809237619357,0.4156440580928697,0.5540511326695109,1
0.11350570847821495,0.4427981940163524,0.4436960975054327,2
0.04922622475543342,0.25849409422337366,0.6922796810211929,3
0.04821016978245109,0.34432387868822345,0.6074659515293255,4
0.7284890166381092,0.16419148116465046,0.10731950219724044,5
0.11316081134116848,0.24480702415349853,0.642032164505333,6
0.3540187956312054,0.2408968565799575,0.4050843477888371,7
0.457705526088845,0.2712138818749937,0.2710805920361614,8
0.012732097657531503,0.3375394761854013,0.6497284261570672,9
0.09386378384369018,0.2797958881582542,0.6263403279980556,10
0.32010102064533763,0.2901309766682136,0.3897680026864489,11
0.07888740714089992,0.3166888060904163,0.6044237867686838,12
0.009246923279193955,0.26316556719643047,0.7275875095243756,13
0.1333927185288297,0.31503245767796106,0.5515748237932092,14
0.7369621588603325,0.1314034730840654,0.13163436805560216,15
0.016234251001294296,0.26322997818951255,0.7205357708091932,16
0.06592601269726742,0.3025120601690675,0.6315619271336651,17
0.54168989776412,0.24313477232225492,0.21517532991362512,18
0.05187428559441715,0.2673383427888311,0.6807873716167517,19
0.018491289167602242,0.33098009787358806,0.6505286129588097,20
0.033348677869102325,0.34729743979565664,0.619353882335241,21
0.1142650046335354,0.34532398572022693,0.5404110096462377,22
0.1099123395920302,0.3490226807935771,0.5410649796143928,23
0.6407443563136218,0.17979491237523018,0.17946073131114798,24
0.28590776364057446,0.3414319157106066,0.37266032064881893,25
0.05834609187834294,0.26071444676225985,0.6809394613593973,26
0.025594577904784654,0.13658800601912174,0.8378174160760936,27
0.05962998961719015,0.3366385293159568,0.6037314810668531,28
0.013285960139350387,0.33409152462564484,0.6526225152350047,29
0.48406568803203104,0.2133817702181126,0.3025525417498564,30
0.0523595610703278,0.3677858425303323,0.5798545963993399,31
0.05970887937243959,0.3050313895790649,0.6352597310484956,32
0.07468579783596205,0.3177967939699343,0.6075174081941037,33
0.024515104725411276,0.2861429710423795,0.6893419242322093,34
0.09140981239981272,0.3061652419153602,0.6024249456848271,35
0.4796848446773919,0.2263295253904833,0.2939856299321249,36
0.15711559372674197,0.22466371251799275,0.6182206937552653,37
0.5975334692293461,0.17220165490030703,0.23026487587034677,38
0.015911362903012413,0.42648450256517717,0.5576041345318103,39
0.025949099772267437,0.26560777255703205,0.7084431276707005,40
0.007769458691823051,0.22898781978634725,0.7632427215218297,41
0.2696890148832007,0.34365765539150916,0.3866533297252902,42
0.05642715891550817,0.33255365991679975,0.6110191811676922,43
0.5228861981022538,0.24736903625973478,0.22974476563801144,44
0.01611829823355096,0.26948349061518756,0.7143982111512615,45
0.07390434572423445,0.40333313557978295,0.5227625186959827,46
0.04431476039491043,0.29990228164328575,0.6557829579618037,47
0.5892640182230594,0.18685311162665127,0.2238828701502894,48
0.2623473423843051,0.2888757052710301,0.4487769523446648,49
0.8133220614604735,0.09569535973927612,0.0909825788002503,50
0.2271195823839446,0.33863326910398395,0.43424714851207147,51
0.12265287280064263,0.2068334818276135,0.670513645371744,52
0.6386850570712326,0.16761439354548285,0.19370054938328457,53
0.025592662949493594,0.4317874344183942,0.5426199026321122,54
0.38130007925070086,0.31366290983485773,0.3050370109144415,55
0.2293205659297143,0.3386803408786188,0.4319990931916669,56
0.370946052810287,0.3531902155762633,0.2758637316134498,57
0.6113953178383708,0.16610364874208788,0.22250103341954136,58
0.6868895406831133,0.1803466042485971,0.13276385506828964,59
0.18491677183096308,0.32450784959159984,0.4905753785774371,60
0.8730371483577715,0.0597161069558189,0.06724674468640963,61
0.23612731182075758,0.19160932758680943,0.5722633605924331,62
0.3558749846261479,0.22360646476683274,0.4205185506070194,63
0.2429284966649404,0.31164719078706415,0.4454243125479954,64
