prob_A,prob_D,prob_H,match_id
0.08327244907773444,0.34896153132887164,0.5677660195933939,1
0.18861949299070419,0.3136553173232258,0.49772518968607005,2
0.0913827486774576,0.231106003407868,0.6775112479146744,3
0.09367325228737594,0.351095655393756,0.555231092318868,4
0.73509155435593,0.12078109268909783,0.1441273529549722,5
0.26244590829692854,0.2995325800473656,0.4380215116557058,6
0.3942657993288807,0.2593079459041252,0.34642625476699423,7
0.20947176147378607,0.3105153315589,0.48001290696731397,8
0.04689749793325005,0.3253395764151045,0.6277629256516455,9
0.131460551309547,0.3146767114484644,0.5538627372419886,10
0.2968978788595441,0.29199869727159733,0.4111034238688586,11
0.2574406803031968,0.3116959519229872,0.4308633677738159,12
0.05143517978047054,0.27609082072616814,0.6724739994933613,13
0.048137756279266954,0.28966550625356574,0.6621967374671673,14
0.4654813948006108,0.22363738272893513,0.3108812224704541,15
0.05219081339062539,0.3013571014711074,0.6464520851382674,16
0.13901589900397382,0.3291766342261594,0.5318074667698668,17
0.6374827819559765,0.18107330608920208,0.1814439119548214,18
0.06729440574519849,0.31968976861781917,0.6130158256369824,19
0.05095605344758114,0.3204761424813253,0.6285678040710936,20
0.022474814265823657,0.24963862977289103,0.7278865559612853,21
0.14097418712388726,0.3199595510580798,0.5390662618180329,22
0.21803496451578427,0.3063222450046025,0.4756427904796133,23
0.5585974935089278,0.1993650891757609,0.2420374173153113,24
0.1540636934630038,0.3213385532448607,0.5245977532921355,25
0.157790605907714,0.3229713318529115,0.5192380622393746,26
0.038726878616876605,0.2887908264183019,0.6724822949648215,27
0.09303521735584784,0.3115079862967693,0.5954567963473829,28
0.045378815334311255,0.330569642777805,0.6240515418878838,29
0.49196781813386703,0.2367653935939261,0.2712667882722068,30
0.11764474640192528,0.3285140448859535,0.5538412087121212,31
0.1813851814187523,0.31631014713361677,0.502304671447631,32
0.11927751198980585,0.3330740905851826,0.5476483974250115,33
0.09243446192208697,0.32652070984357784,0.5810448282343351,34
0.06616067027279897,0.303903037609406,0.629936292117795,35
0.39826419763533716,0.25084099134765636,0.3508948110170066,36
0.0886708821954145,0.3081547018407802,0.6031744159638054,37
0.46152554375960747,0.23586979085187937,0.3026046653885132,38
0.02423880834275187,0.29818480711563267,0.6775763845416154,39
0.08717224453468933,0.32315588912142046,0.5896718663438902,40
0.030779415870906945,0.3060451411865088,0.6631754429425843,41
0.1931286141487793,0.3039595170993839,0.5029118687518368,42
0.0798087323168913,0.33282115598561357,0.5873701116974952,43
0.5496211932571327,0.21831942088415107,0.23205938585871627,44
0.05197084737940879,0.30939759810766354,0.6386315545129277,45
0.031662286868596616,0.2975995665901103,0.6707381465412932,46
0.0428847317014889,0.2784601510603176,0.6786551172381936,47
0.5351101058474935,0.2182507412312312,0.24663915292127533,48
0.30567355600632945,0.31639317869650324,0.37793326529716736,49
0.3846180574400363,0.27131064126577026,0.3440713012941934,50
0.24127405676409786,0.3434073354248751,0.41531860781102703,51
0.10586088989000596,0.31282743634621085,0.5813116737637832,52
0.4663372190103523,0.23019810392948425,0.3034646770601634,53
0.03844236948667612,0.29724484874361845,0.6643127817697054,54
0.4119474827664837,0.2983963585409646,0.28965615869255185,55
0.31501396782055574,0.2879900720488259,0.3969959601306184,56
0.38612443263170276,0.2802847944487319,0.33359077291956546,57
0.3649271609624111,0.2672258057541816,0.36784703328340723,58
0.56767226874467,0.20412201986354508,0.2282057113917849,59
0.11941871323229203,0.3001636199926872,0.5804176667750208,60
0.8186124907457613,0.100649849097731,0.08073766015650777,61
0.3667525416306745,0.2628592486362306,0.37038820973309483,62
0.5883104171913213,0.19393508244564148,0.21775450036303723,63
0.223580029086934,0.2995106651358887,0.4769093057771773,64
