prob_A,prob_D,prob_H,match_id
0.028880732597737116,0.4007682103149338,0.5703510570873291,1
0.32460244553463846,0.300295770410087,0.3751017840552747,2
0.09051045938042541,0.3692714540952569,0.5402180865243177,3
0.08148964187376687,0.3838693454507832,0.53464101267545,4
0.7469588972397752,0.14647964022812943,0.10656146253209538,5
0.18830492070410165,0.2842738501776871,0.5274212291182112,6
0.5153178738657553,0.2545197798725973,0.23016234626164744,7
0.5523560612154571,0.21199153761162354,0.23565240117291938,8
0.023880379628466643,0.29386297487906826,0.682256645492465,9
0.030930509782692177,0.21390460771222292,0.7551648825050848,10
0.3135089541580006,0.2323623049346289,0.45412874090737054,11
0.09842858104193758,0.3184193716961893,0.5831520472618731,12
0.026112977147568946,0.26211242852278505,0.711774594329646,13
0.059780338222401135,0.2513465915147709,0.6888730702628281,14
0.6736052507349671,0.14617453406454498,0.18022021520048784,15
0.08772295507286201,0.2272743572446149,0.685002687682523,16
0.0803317862294705,0.340959746350191,0.5787084674203385,17
0.5667942860527985,0.1863134281181581,0.24689228582904338,18
0.04444884520037658,0.33293504132028806,0.6226161134793353,19
0.025337414888358584,0.2465520614273077,0.7281105236843337,20
0.022998569736925135,0.28347918138561395,0.6935222488774608,21
0.03526792863885799,0.3735463536686632,0.5911857176924789,22
0.11238043545395518,0.2808582365044529,0.6067613280415919,23
0.6370746235459527,0.1988193896355882,0.16410598681845917,24
0.1966669619531706,0.3551273203672095,0.4482057176796199,25
0.030148687089898197,0.26932028248670653,0.7005310304233953,26
0.02886730479963705,0.2959769478242726,0.6751557473760903,27
0.033198180183804854,0.32887777209954994,0.6379240477166452,28
0.027659064719712252,0.3024207268145134,0.6699202084657743,29
0.6881681546026926,0.19430050091237017,0.1175313444849372,30
0.04468272726644889,0.4146561500200503,0.5406611227135009,31
0.020305923262580083,0.2888255621964388,0.6908685145409812,32
0.07785506561604008,0.32737137051309173,0.5947735638708682,33
0.081367923024253,0.31933062176843463,0.5993014552073123,34
0.03425487898925677,0.37524318235932075,0.5905019386514225,35
0.6271918701915377,0.1860074043084673,0.18680072549999502,36
0.050332502229998285,0.3211977966851421,0.6284697010848597,37
0.3972682582436305,0.2434201763806534,0.3593115653757161,38
0.025433705898650013,0.3301133287667057,0.6444529653346444,39
0.032395982265357545,0.25764549256212776,0.7099585251725147,40
0.02418441353550281,0.28296850850426963,0.6928470779602275,41
0.21289380350697806,0.38618219719308433,0.4009239992999375,42
0.025363453564162572,0.33579164525545024,0.6388449011803872,43
0.680406253474654,0.20325206091312475,0.11634168561222122,44
0.02756970774634522,0.3590381212133524,0.6133921710403024,45
0.08617585655155222,0.38408622394506364,0.5297379195033841,46
0.03023452674740532,0.2775931822271072,0.6921722910254875,47
0.67533245713951,0.20784311968594574,0.11682442317454439,48
0.2268607289526916,0.3237659183245716,0.4493733527227368,49
0.6597678717955426,0.2136191674093482,0.12661296079510923,50
0.03593786055392609,0.2770371662899817,0.6870249731560921,51
0.04938327064597361,0.23756159895055312,0.7130551304034732,52
0.6775239536215695,0.18154961624246366,0.14092643013596676,53
0.03195319541126589,0.28452965976808364,0.6835171448206504,54
0.172711803360141,0.28534023110614626,0.5419479655337128,55
0.17774727723700784,0.33429052308780965,0.48796219967518245,56
0.6153687609194411,0.2511938035330562,0.1334374355475027,57
0.6136483882102786,0.2050539346360027,0.18129767715371864,58
0.7081502149418213,0.17254036095171163,0.11930942410646707,59
0.22214020233842313,0.24590577584553824,0.5319540218160386,60
0.7034685842562521,0.18490261115498918,0.11162880458875875,61
0.2329097439998608,0.3062111253451548,0.46087913065498454,62
0.6247787725312824,0.20298115163085229,0.17224007583786527,63
0.1142200567606011,0.25694282502720917,0.6288371182121897,64
